,anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
603,2023,46,13,quantile,0.25,4,7.509120566819597
604,2023,46,19,quantile,0.25,1,5.262367424666661
605,2023,46,19,quantile,0.25,2,5.7425001120196
606,2023,46,19,quantile,0.25,3,5.476387901870577
607,2023,46,19,quantile,0.25,4,5.153120566819596
608,2023,46,20,quantile,0.25,1,8.746367424666662
609,2023,46,20,quantile,0.25,2,9.7625001120196
610,2023,46,20,quantile,0.25,3,9.63038790187058
611,2023,46,20,quantile,0.25,4,9.226720566819598
612,2023,46,21,quantile,0.25,1,7.953367424666661
613,2023,46,21,quantile,0.25,2,8.847500112019599
614,2023,46,21,quantile,0.25,3,8.684887901870578
615,2023,46,21,quantile,0.25,4,8.299520566819597
616,2023,46,01,quantile,0.3,1,10.795519128396332
617,2023,46,01,quantile,0.3,2,12.2002187438653
618,2023,46,01,quantile,0.3,3,12.251174354207189
619,2023,46,01,quantile,0.3,4,11.845130220903098
620,2023,46,02,quantile,0.3,1,9.001519128396332
621,2023,46,02,quantile,0.3,2,10.1302187438653
622,2023,46,02,quantile,0.3,3,10.11217435420719
623,2023,46,02,quantile,0.3,4,9.7475302209031
624,2023,46,03,quantile,0.3,1,9.001519128396332
625,2023,46,03,quantile,0.3,2,10.1302187438653
626,2023,46,03,quantile,0.3,3,10.11217435420719
627,2023,46,03,quantile,0.3,4,9.7475302209031
628,2023,46,04,quantile,0.3,1,7.23351912839633
629,2023,46,04,quantile,0.3,2,8.0902187438653
630,2023,46,04,quantile,0.3,3,8.004174354207189
631,2023,46,04,quantile,0.3,4,7.680330220903098
632,2023,46,05,quantile,0.3,1,10.392519128396332
633,2023,46,05,quantile,0.3,2,11.7352187438653
634,2023,46,05,quantile,0.3,3,11.77067435420719
635,2023,46,05,quantile,0.3,4,11.373930220903098
636,2023,46,06,quantile,0.3,1,2.969519128396331
637,2023,46,06,quantile,0.3,2,3.1702187438653
638,2023,46,06,quantile,0.3,3,2.920174354207189
639,2023,46,06,quantile,0.3,4,2.6947302209030983
640,2023,46,IT,quantile,0.3,1,9.001519128396332
641,2023,46,IT,quantile,0.3,2,10.1302187438653
642,2023,46,IT,quantile,0.3,3,10.11217435420719
643,2023,46,IT,quantile,0.3,4,9.7475302209031
644,2023,46,07,quantile,0.3,1,6.63551912839633
645,2023,46,07,quantile,0.3,2,7.400218743865301
646,2023,46,07,quantile,0.3,3,7.29117435420719
647,2023,46,07,quantile,0.3,4,6.981130220903099
648,2023,46,08,quantile,0.3,1,9.508519128396332
649,2023,46,08,quantile,0.3,2,10.7152187438653
650,2023,46,08,quantile,0.3,3,10.71667435420719
651,2023,46,08,quantile,0.3,4,10.340330220903098
652,2023,46,09,quantile,0.3,1,13.200519128396332
653,2023,46,09,quantile,0.3,2,14.975218743865298
654,2023,46,09,quantile,0.3,3,15.118674354207188
655,2023,46,09,quantile,0.3,4,14.6571302209031
656,2023,46,10,quantile,0.3,1,7.74051912839633
657,2023,46,10,quantile,0.3,2,8.6752187438653
658,2023,46,10,quantile,0.3,3,8.608674354207189
659,2023,46,10,quantile,0.3,4,8.273130220903099
660,2023,46,11,quantile,0.3,1,1.4485191283963308
661,2023,46,11,quantile,0.3,2,1.4152187438653
662,2023,46,11,quantile,0.3,3,1.1066743542071888
663,2023,46,11,quantile,0.3,4,0.916330220903098
664,2023,46,14,quantile,0.3,1,11.549519128396332
665,2023,46,14,quantile,0.3,2,13.0702187438653
666,2023,46,14,quantile,0.3,3,13.15017435420719
667,2023,46,14,quantile,0.3,4,12.726730220903098
