anno,settimana,orizzonte,luogo,tipo_valore,id_valore,valore,target
2025,8,3,IT,quantile,0.3,0.9246635451347278,ILI+_FLU_B
2025,8,4,IT,quantile,0.3,0.8453331971275536,ILI+_FLU_B
2025,8,1,IT,quantile,0.35,1.6218781623757887,ILI+_FLU_B
2025,8,2,IT,quantile,0.35,1.263914595656105,ILI+_FLU_B
2025,8,3,IT,quantile,0.35,1.0559461414796418,ILI+_FLU_B
2025,8,4,IT,quantile,0.35,0.99170443545295,ILI+_FLU_B
2025,8,1,IT,quantile,0.4,1.6965507728585714,ILI+_FLU_B
2025,8,2,IT,quantile,0.4,1.3700643949409217,ILI+_FLU_B
2025,8,3,IT,quantile,0.4,1.185651602487225,ILI+_FLU_B
2025,8,4,IT,quantile,0.4,1.136317274274079,ILI+_FLU_B
2025,8,1,IT,quantile,0.45,1.7706320581241872,ILI+_FLU_B
2025,8,2,IT,quantile,0.45,1.4753736041792875,ILI+_FLU_B
2025,8,3,IT,quantile,0.45,1.3143299384297793,ILI+_FLU_B
2025,8,4,IT,quantile,0.45,1.279784937939711,ILI+_FLU_B
2025,8,1,IT,quantile,0.5,1.844421757350032,ILI+_FLU_B
2025,8,2,IT,quantile,0.5,1.5802683133834925,ILI+_FLU_B
2025,8,3,IT,quantile,0.5,1.4425017927927095,ILI+_FLU_B
2025,8,4,IT,quantile,0.5,1.4226879088123716,ILI+_FLU_B
2025,8,1,IT,quantile,0.55,1.918211456575876,ILI+_FLU_B
2025,8,2,IT,quantile,0.55,1.6851630225876977,ILI+_FLU_B
2025,8,3,IT,quantile,0.55,1.5706736471556402,ILI+_FLU_B
2025,8,4,IT,quantile,0.55,1.5655908796850322,ILI+_FLU_B
2025,8,1,IT,quantile,0.6,1.992292741841492,ILI+_FLU_B
2025,8,2,IT,quantile,0.6,1.7904722318260635,ILI+_FLU_B
2025,8,3,IT,quantile,0.6,1.6993519830981945,ILI+_FLU_B
2025,8,4,IT,quantile,0.6,1.7090585433506642,ILI+_FLU_B
2025,8,1,IT,quantile,0.65,2.0669653523242744,ILI+_FLU_B
2025,8,2,IT,quantile,0.65,1.89662203111088,ILI+_FLU_B
2025,8,3,IT,quantile,0.65,1.8290574441057776,ILI+_FLU_B
2025,8,4,IT,quantile,0.65,1.8536713821717927,ILI+_FLU_B
2025,8,1,IT,quantile,0.7,2.1425459339272264,ILI+_FLU_B
2025,8,2,IT,quantile,0.7,2.004062543972458,ILI+_FLU_B
2025,8,3,IT,quantile,0.7,1.960340040450692,ILI+_FLU_B
2025,8,4,IT,quantile,0.7,2.0000426204971897,ILI+_FLU_B
2025,8,1,IT,quantile,0.75,2.219378079451893,ILI+_FLU_B
2025,8,2,IT,quantile,0.75,2.1132821999257696,ILI+_FLU_B
