origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.975,456.4847873293551
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.975,446.1200833431629
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.99,479.68969410986426
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.99,470.6335790133948
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.99,460.8528962829664
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.99,450.7823520797658
2025-03-12,ILI incidence,2025-03-09,1,BE,median,,387.2495341098081
2025-03-12,ILI incidence,2025-03-16,2,BE,median,,358.9712174563201
2025-03-12,ILI incidence,2025-03-23,3,BE,median,,336.7031757409253
2025-03-12,ILI incidence,2025-03-30,4,BE,median,,318.2720674490186
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.01,188.7477528522201
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.01,181.65676721016283
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.01,175.41674831425502
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.01,169.85977162127284
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.025,189.4772774370328
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.025,182.4674391066378
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.025,176.29105079046198
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.025,170.7851793475637
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.05,190.6699392734802
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.05,183.7927644663781
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.05,177.7204024786595
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.05,172.29808035361296
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.1,192.9786568641381
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.1,186.35828796840568
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.1,180.4872969033254
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.1,175.2267069423483
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.15,195.2017320741305
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.15,188.8286428186865
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.15,183.1515527781152
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.15,178.04669549144015
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.2,197.35567760904823
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.2,191.2221784829356
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.2,185.7329598396429
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.2,180.77899249899664
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.25,199.45421421764823
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.25,193.55414191190323
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.25,188.24796178955145
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.25,183.44100284372192
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.3,201.50904226617607
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.3,195.8375349403339
