orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana,target
4,02,quantile,0.45,14.374125476326544,2025,51,ARI
-1,02,quantile,0.5,12.022148486919528,2025,51,ARI
0,02,quantile,0.5,13.046998183381668,2025,51,ARI
1,02,quantile,0.5,14.080662035866268,2025,51,ARI
2,02,quantile,0.5,15.583360741609567,2025,51,ARI
3,02,quantile,0.5,15.966985232033323,2025,51,ARI
4,02,quantile,0.5,14.81631849732025,2025,51,ARI
-1,02,quantile,0.55,12.043045549359176,2025,51,ARI
0,02,quantile,0.55,13.069404665731534,2025,51,ARI
1,02,quantile,0.55,14.164672837386991,2025,51,ARI
2,02,quantile,0.55,15.771594304146957,2025,51,ARI
3,02,quantile,0.55,16.3372621225282,2025,51,ARI
4,02,quantile,0.55,15.302205924765484,2025,51,ARI
-1,02,quantile,0.6,12.079821696574454,2025,51,ARI
0,02,quantile,0.6,13.094588994989152,2025,51,ARI
1,02,quantile,0.6,14.277084690926054,2025,51,ARI
2,02,quantile,0.6,15.874129312104316,2025,51,ARI
3,02,quantile,0.6,16.628212186139592,2025,51,ARI
4,02,quantile,0.6,15.74593284630724,2025,51,ARI
-1,02,quantile,0.65,12.113112384915055,2025,51,ARI
0,02,quantile,0.65,13.124586230813904,2025,51,ARI
1,02,quantile,0.65,14.36798416439734,2025,51,ARI
2,02,quantile,0.65,16.094823754418684,2025,51,ARI
3,02,quantile,0.65,16.919803356810235,2025,51,ARI
4,02,quantile,0.65,16.197662983042637,2025,51,ARI
-1,02,quantile,0.7,12.158884711523648,2025,51,ARI
0,02,quantile,0.7,13.15061698938908,2025,51,ARI
1,02,quantile,0.7,14.415508051652088,2025,51,ARI
2,02,quantile,0.7,16.20294953109671,2025,51,ARI
3,02,quantile,0.7,17.36577723253852,2025,51,ARI
4,02,quantile,0.7,16.668113174363825,2025,51,ARI
-1,02,quantile,0.75,12.231667050567484,2025,51,ARI
0,02,quantile,0.75,13.179102613053196,2025,51,ARI
1,02,quantile,0.75,14.472282133131824,2025,51,ARI
