anno,settimana,luogo,tipo_valore,id_valore,orizzonte,target,valore
2025,2,02,quantile,0.65,4,ILI,17.294745355881723
2025,2,02,quantile,0.7,-1,ILI,16.848142046596692
2025,2,02,quantile,0.7,0,ILI,20.5211541414346
2025,2,02,quantile,0.7,1,ILI,26.183383271839503
2025,2,02,quantile,0.7,2,ILI,25.195271113456535
2025,2,02,quantile,0.7,3,ILI,22.15203692908826
2025,2,02,quantile,0.7,4,ILI,18.06440138821357
2025,2,02,quantile,0.75,-1,ILI,17.281344583230865
2025,2,02,quantile,0.75,0,ILI,20.98094748455619
2025,2,02,quantile,0.75,1,ILI,26.635846025446344
2025,2,02,quantile,0.75,2,ILI,25.76514267216574
2025,2,02,quantile,0.75,3,ILI,22.904990547253703
2025,2,02,quantile,0.75,4,ILI,18.91840376080549
2025,2,02,quantile,0.8,-1,ILI,17.78720151706322
2025,2,02,quantile,0.8,0,ILI,21.41975489959074
2025,2,02,quantile,0.8,1,ILI,27.04296005624597
2025,2,02,quantile,0.8,2,ILI,26.45498653075705
2025,2,02,quantile,0.8,3,ILI,23.694757780497177
2025,2,02,quantile,0.8,4,ILI,19.47618927743223
2025,2,02,quantile,0.85,-1,ILI,18.289826105764647
2025,2,02,quantile,0.85,0,ILI,22.21375593061655
2025,2,02,quantile,0.85,1,ILI,27.64593062559156
2025,2,02,quantile,0.85,2,ILI,27.105270798243442
2025,2,02,quantile,0.85,3,ILI,24.549911507967153
2025,2,02,quantile,0.85,4,ILI,20.369390251110126
2025,2,02,quantile,0.9,-1,ILI,18.913593816515558
2025,2,02,quantile,0.9,0,ILI,22.98110905666654
2025,2,02,quantile,0.9,1,ILI,28.348712717678374
2025,2,02,quantile,0.9,2,ILI,28.1075364150379
2025,2,02,quantile,0.9,3,ILI,25.589887755215056
2025,2,02,quantile,0.9,4,ILI,21.605551879908987
2025,2,02,quantile,0.95,-1,ILI,19.892878260971564
2025,2,02,quantile,0.95,0,ILI,24.3481158862185
2025,2,02,quantile,0.95,1,ILI,29.5703361682137
2025,2,02,quantile,0.95,2,ILI,29.747546483238906
2025,2,02,quantile,0.95,3,ILI,27.693520861657312
2025,2,02,quantile,0.95,4,ILI,23.492687689306486
2025,2,02,quantile,0.975,-1,ILI,20.713170564397558
2025,2,02,quantile,0.975,0,ILI,25.69953015739555
2025,2,02,quantile,0.975,1,ILI,30.496288272984117
2025,2,02,quantile,0.975,2,ILI,31.19413418732009
2025,2,02,quantile,0.975,3,ILI,29.577227491260658
2025,2,02,quantile,0.975,4,ILI,25.586581163816213
2025,2,02,quantile,0.99,-1,ILI,21.556136347997604
2025,2,02,quantile,0.99,0,ILI,26.691443230404712
2025,2,02,quantile,0.99,1,ILI,31.61038696519169
2025,2,02,quantile,0.99,2,ILI,32.928783576729806
2025,2,02,quantile,0.99,3,ILI,31.842244989406403
2025,2,02,quantile,0.99,4,ILI,28.063618450696556
2025,2,03,quantile,0.01,-1,ILI,1.4117
2025,2,03,quantile,0.01,0,ILI,1.343
2025,2,03,quantile,0.01,1,ILI,6.846503038296322
2025,2,03,quantile,0.01,2,ILI,5.81638664478926
2025,2,03,quantile,0.01,3,ILI,4.852240762114384
2025,2,03,quantile,0.01,4,ILI,3.951385076895859
2025,2,03,quantile,0.025,-1,ILI,2.3453
2025,2,03,quantile,0.025,0,ILI,2.2984
2025,2,03,quantile,0.025,1,ILI,7.305081859874599
2025,2,03,quantile,0.025,2,ILI,6.2851415008169464
2025,2,03,quantile,0.025,3,ILI,5.319471198713867
2025,2,03,quantile,0.025,4,ILI,4.387942854685043
2025,2,03,quantile,0.05,-1,ILI,3.4936
2025,2,03,quantile,0.05,0,ILI,3.8464
